obs,datetime
8.0,2009-05-18
0.0,2009-05-19
0.0,2009-05-20
16.2,2009-05-21
0.0,2009-05-22
0.0,2009-05-23
0.0,2009-05-24
0.0,2009-05-25
0.0,2009-05-26
0.0,2009-05-27
0.0,2009-05-28
0.0,2009-05-29
0.0,2009-05-30
0.0,2009-05-31
0.0,2009-01-06
0.5,2009-02-06
11.64,2009-03-06
0.0,2009-04-06
3.29,2009-05-06
5.36,2009-06-06
26.4,2009-07-06
0.0,2009-08-06
0.0,2009-09-06
0.0,2009-10-06
0.0,2009-11-06
3.21,2009-12-06
0.0,2009-06-13
0.0,2009-06-14
29.83,2009-06-15
0.0,2009-06-16
0.0,2009-06-17
0.0,2009-06-18
0.17,2009-06-19
0.54,2009-06-20
0.0,2009-06-21
0.0,2009-06-22
0.0,2009-06-23
0.0,2009-06-24
24.55,2009-06-25
8.45,2009-06-26
0.0,2009-06-27
1.86,2009-06-28
3.68,2009-06-29
0.0,2009-06-30
26.92,2009-01-07
8.19,2009-02-07
17.68,2009-03-07
25.45,2009-04-07
22.63,2009-05-07
57.42,2009-06-07
12.56,2009-07-07
8.24,2009-08-07
0.39,2009-09-07
17.13,2009-10-07
15.75,2009-11-07
1.7,2009-12-07
77.75,2009-07-13
123.12,2009-07-14
115.8,2009-07-15
20.43,2009-07-16
0.0,2009-07-17
40.72,2009-07-18
59.0,2009-07-19
102.82,2009-07-20
43.57,2009-07-21
5.07,2009-07-22
0.43,2009-07-23
0.0,2009-07-24
0.0,2009-07-25
0.47,2009-07-26
3.0,2009-07-27
35.69,2009-07-28
0.0,2009-07-29
0.51,2009-07-30
1.91,2009-07-31
0.0,2009-01-08
0.0,2009-02-08
0.0,2009-03-08
0.14,2009-04-08
0.0,2009-05-08
0.0,2009-06-08
0.0,2009-07-08
0.0,2009-08-08
0.0,2009-09-08
21.75,2009-10-08
24.0,2009-11-08
0.76,2009-12-08
14.45,2009-08-13
34.87,2009-08-14
17.56,2009-08-15
0.95,2009-08-16
1.21,2009-08-17
4.22,2009-08-18
0.1,2009-08-19
39.6,2009-08-20
36.96,2009-08-21
1.5,2009-08-22
8.03,2009-08-23
7.47,2009-08-24
22.29,2009-08-25
50.52,2009-08-26
28.07,2009-08-27
17.87,2009-08-28
5.17,2009-08-29
0.0,2009-08-30
9.49,2009-08-31
0.84,2009-01-09
0.22,2009-02-09
0.0,2009-03-09
0.0,2009-04-09
13.55,2009-05-09
37.01,2009-06-09
3.12,2009-07-09
0.39,2009-08-09
1.29,2009-09-09
0.0,2009-10-09
0.0,2009-11-09
0.0,2009-12-09
0.0,2009-09-13
0.0,2009-09-14
0.33,2009-09-15
0.0,2009-09-16
0.62,2009-09-17
0.0,2009-09-18
10.45,2009-09-19
9.32,2009-09-20
0.0,2009-09-21
