idates,imonths,iyears,obs,meanmod,stdmod
10,5,2008,0.0,0.0,0.0
11,5,2008,0.0,0.01,0.01
12,5,2008,0.0,0.04,0.06
13,5,2008,0.0,0.01,0.03
14,5,2008,0.0,0.01,0.02
15,5,2008,0.0,0.04,0.09
16,5,2008,0.0,0.04,0.06
17,5,2008,0.0,0.04,0.13
18,5,2008,0.0,0.14,0.05
19,5,2008,0.0,0.1,0.1
20,5,2008,0.0,0.08,0.09
21,5,2008,0.0,0.0,0.0
22,5,2008,0.0,0.09,0.1
23,5,2008,0.0,0.28,0.23
24,5,2008,0.0,0.15,0.12
25,5,2008,0.0,0.02,0.02
26,5,2008,0.0,0.09,0.06
27,5,2008,0.0,0.01,0.04
28,5,2008,0.2,0.31,0.12
29,5,2008,0.0,5.06,3.84
30,5,2008,0.0,0.38,0.17
31,5,2008,0.0,0.07,0.06
1,6,2008,0.0,0.88,0.68
2,6,2008,0.0,0.11,0.06
3,6,2008,0.0,7.55,3.11
4,6,2008,0.0,6.41,1.21
5,6,2008,0.0,5.17,0.96
6,6,2008,4.76,5.25,2.46
7,6,2008,6.53,12.63,7.21
8,6,2008,27.22,26.38,8.0
9,6,2008,27.82,10.28,6.16
10,6,2008,5.07,8.95,3.88
11,6,2008,1.05,28.26,4.18
12,6,2008,7.15,5.56,1.87
13,6,2008,0.0,9.96,4.45
14,6,2008,1.05,5.71,2.59
15,6,2008,6.5,17.72,4.12
16,6,2008,10.42,14.97,5.11
17,6,2008,0.79,6.3,4.17
18,6,2008,1.13,7.96,2.33
19,6,2008,0.0,0.21,0.05
20,6,2008,0.0,0.43,0.07
21,6,2008,0.0,18.52,6.0
22,6,2008,3.21,6.39,2.79
23,6,2008,0.0,13.27,7.03
24,6,2008,11.61,22.11,14.76
25,6,2008,2.35,25.75,8.72
26,6,2008,0.84,20.17,11.07
27,6,2008,1.17,24.96,17.52
28,6,2008,56.33,12.55,4.13
29,6,2008,7.4,7.24,2.2
30,6,2008,2.0,4.03,3.32
1,7,2008,1.37,3.1,3.25
2,7,2008,12.94,8.93,3.31
3,7,2008,0.0,8.61,6.33
4,7,2008,1.22,3.99,2.92
5,7,2008,4.08,12.13,3.38
7,7,2008,14.96,20.44,10.56
8,7,2008,13.99,13.42,3.39
9,7,2008,3.97,5.41,3.36
10,7,2008,9.27,12.85,3.97
11,7,2008,1.47,2.22,1.54
12,7,2008,0.0,4.27,1.07
13,7,2008,1.17,9.44,2.75
14,7,2008,0.65,4.66,1.25
15,7,2008,1.55,9.66,3.78
16,7,2008,15.43,14.89,4.29
17,7,2008,14.25,9.15,3.6
18,7,2008,2.91,2.05,1.43
19,7,2008,5.0,7.57,2.77
20,7,2008,4.95,5.98,7.33
21,7,2008,0.0,12.86,6.71
22,7,2008,0.0,9.13,4.34
23,7,2008,2.94,27.42,16.84
24,7,2008,15.92,22.55,5.88
25,7,2008,5.22,1.25,1.93
26,7,2008,4.93,18.33,4.59
27,7,2008,8.98,3.48,1.87
28,7,2008,17.01,38.84,9.58
29,7,2008,5.79,3.1,2.18
30,7,2008,3.54,5.45,3.0
31,7,2008,19.11,17.48,8.4
1,8,2008,9.41,5.0,2.72
2,8,2008,7.59,20.28,8.81
3,8,2008,0.0,15.05,6.28
4,8,2008,22.48,10.09,5.8
5,8,2008,1.96,6.81,2.42
6,8,2008,4.21,9.62,3.9
7,8,2008,1.47,16.81,8.64
8,8,2008,76.4,45.35,21.62
9,8,2008,62.43,38.44,17.79
10,8,2008,67.33,9.8,5.3
11,8,2008,2.64,1.11,0.5
12,8,2008,0.0,0.63,0.38
13,8,2008,0.0,2.0,1.9
